Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-05-04;94,54;94,81;93,96;94,22;411.254;38.814.081
2022-05-03;97,38;97,46;94,41;95,25;2.792.741;266.895.946
2022-05-02;96,10;96,98;95,36;96,51;2.415.261;232.907.940
2022-04-29;97,68;98,74;97,12;97,56;2.908.340;284.350.696
2022-04-28;94,87;96,86;94,72;96,76;2.865.967;275.786.220
2022-04-27;94,88;95,73;93,86;94,93;3.297.911;312.890.406
2022-04-26;96,88;97,31;94,33;94,56;3.008.442;287.364.795
2022-04-25;94,98;96,74;94,81;95,74;3.335.107;318.807.186
2022-04-22;96,57;97,92;94,04;97,57;5.263.431;507.424.260
2022-04-21;98,61;100,08;98,24;99,56;2.354.354;234.527.031
2022-04-20;95,96;98,65;95,94;98,48;2.346.667;230.122.989
2022-04-19;96,02;97,19;95,31;97,17;3.173.230;305.972.094
2022-04-14;97,37;98,20;96,73;97,16;3.774.096;367.523.655
2022-04-13;97,73;97,73;96,03;96,85;2.960.712;286.489.386
2022-04-12;98,00;98,81;97,00;98,32;3.161.521;309.874.210
2022-04-11;99,05;99,95;98,56;99,34;1.907.113;189.271.427
2022-04-08;100,48;100,90;99,41;100,42;2.054.134;205.828.297
2022-04-07;100,40;100,64;99,46;99,72;2.411.034;240.781.386
2022-04-06;101,88;102,68;100,04;100,58;3.107.903;315.084.363
2022-04-05;102,34;103,06;100,72;101,68;1.837.700;187.036.513
2022-04-04;100,06;102,14;98,50;101,58;2.372.402;239.046.968
2022-04-01;101,10;101,26;99,75;99,75;2.022.783;202.482.592
2022-03-31;102,02;103,78;101,02;101,08;1.942.547;198.323.685
2022-03-30;103,30;103,34;101,34;102,06;2.128.404;217.273.190
2022-03-29;102,40;104,18;101,90;103,42;2.523.791;260.582.587
2022-03-28;100,72;102,06;100,48;100,98;1.906.610;192.874.019
2022-03-25;100,18;102,06;100,02;100,86;1.783.145;180.073.728
2022-03-24;101,32;101,32;99,64;100,42;2.147.765;215.541.128
2022-03-23;102,16;103,00;100,28;100,70;2.008.752;203.033.122
2022-03-22;101,54;102,50;100,70;102,50;2.390.878;243.906.333
2022-03-21;101,50;102,98;100,78;101,90;2.480.924;252.979.678
2022-03-18;103,80;103,82;101,24;103,70;4.643.157;477.762.878
2022-03-17;104,32;104,40;102,66;103,74;2.279.771;236.046.648
2022-03-16;102,48;103,80;101,84;102,84;3.467.971;356.753.554
2022-03-15;100,26;101,26;99,03;100,54;2.521.724;253.123.403
2022-03-14;100,00;102,10;99,30;101,18;2.563.415;259.223.190
2022-03-11;98,11;101,78;97,54;99,58;3.672.556;367.021.866
2022-03-10;100,20;100,28;97,66;98,02;4.305.802;424.861.410
2022-03-09;98,21;101,42;97,59;101,42;4.482.058;448.046.977
2022-03-08;96,60;99,12;95,68;96,39;4.880.436;473.906.972
2022-03-07;95,00;99,26;94,97;97,27;5.885.943;572.574.056
2022-03-04;97,38;99,04;96,77;96,77;5.821.601;568.183.393
2022-03-03;99,76;101,34;99,15;99,22;3.191.208;318.499.209
2022-03-02;98,52;101,74;98,51;100,88;4.216.940;424.479.330
2022-03-01;100,78;100,84;97,96;98,88;3.794.964;376.374.999
2022-02-28;99,19;101,50;99,00;101,32;4.094.935;411.811.891
2022-02-25;100,00;101,58;98,55;101,40;4.190.271;421.194.527
2022-02-24;95,00;99,00;94,48;97,48;7.678.830;743.791.918
2022-02-23;100,74;101,56;99,54;99,60;2.939.788;294.776.009
2022-02-22;98,00;100,92;97,27;100,06;4.172.126;416.383.310
2022-02-21;103,00;103,80;99,72;101,02;2.678.619;272.293.445
2022-02-18;104,08;105,08;102,26;102,26;3.381.642;349.637.791
2022-02-17;105,02;106,06;104,72;105,26;2.212.242;232.869.865
2022-02-16;106,32;106,94;104,76;105,50;2.399.920;253.876.519
2022-02-15;104,70;106,74;104,40;105,70;2.803.587;296.911.136
2022-02-14;105,22;105,50;103,10;105,38;4.168.719;435.694.605
2022-02-11;108,12;108,94;107,44;107,50;2.560.394;276.280.234
2022-02-10;110,00;110,38;108,22;109,30;3.068.100;335.515.488
2022-02-09;110,24;111,34;109,22;109,76;2.981.103;327.616.222
2022-02-08;111,16;111,20;109,22;109,74;2.608.648;286.731.484
2022-02-07;110,00;112,10;109,68;111,20;2.721.057;302.620.745
2022-02-04;108,86;110,26;108,40;109,18;2.968.119;323.967.788
2022-02-03;111,14;111,40;108,88;109,10;2.953.593;324.249.643
2022-02-02;113,40;113,86;112,04;112,10;2.335.910;262.703.474
2022-02-01;111,78;113,66;111,14;113,00;3.251.301;365.501.605
2022-01-31;109,78;110,54;107,94;110,40;3.746.289;411.238.813
2022-01-28;110,30;110,36;106,66;108,18;5.160.735;557.299.458
2022-01-27;114,00;114,50;107,58;110,84;7.324.788;809.811.653
2022-01-26;117,04;118,70;116,90;117,88;2.039.556;240.355.106
